id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
0,Cliff Barker,188,83,University of Kentucky,29,102,37%,106,109,279,0
1,Ralph Beard,178,79,University of Kentucky,22,340,36%,282,233,895,1
2,Charlie Black,196,90,University of Kansas,28,226,28%,321,163,661,1
3,Nelson Bobb,183,77,Temple University,25,80,32%,131,46,242,0
4,Jake Bornheimer,196,90,Muhlenberg College,22,88,29%,117,40,254,0
5,Vince Boryla,196,95,University of Denver,22,204,34%,267,95,612,1
6,Don Boven,193,95,Western Michigan University,24,208,37%,349,137,656,1
7,Harry Boykoff,208,102,St. John's University,27,288,41%,262,149,779,1
8,Joe Bradley,190,79,Oklahoma State University,21,36,27%,38,36,87,0
9,Carl Braun,196,81,Colgate University,22,373,36%,374,247,1031,1
10,Frankie Brian,185,81,Louisiana State University,26,368,32%,488,189,1138,1
11,Price Brookfield,193,83,West Texas A&M University,29,11,48%,13,1,34,0
12,Bob Brown,193,92,Miami University,26,276,36%,252,101,724,1
13,Walt Budko,196,99,Columbia University,24,198,30%,263,146,595,1
14,Tommy Byrnes,190,79,Seton Hall University,26,120,30%,124,88,327,0
15,Bill Calhoun,190,81,City College of San Francisco,22,207,38%,203,115,560,1
16,Don Carlson,183,77,University of Minnesota,30,99,34%,95,76,267,0
17,Leroy Chollet,188,86,Canisius College,24,61,34%,56,37,157,0
18,Bill Closs,196,88,Rice University,28,283,32%,259,160,752,1
19,Jack Coleman,201,88,University of Louisville,25,250,38%,121,153,590,1
20,Jack Cotton,201,90,University of Wyoming,25,97,29%,161,65,276,0
21,Dillard Crocker,193,92,Western Michigan University,25,245,29%,317,85,723,1
22,Chink Crossin,185,74,University of Pennsylvania,26,185,32%,101,148,449,0
23,Fran Curran,183,79,University of Notre Dame,27,98,42%,241,71,395,0
24,Bob Davies*,185,79,Seton Hall University,30,317,36%,347,294,895,1
25,Hook Dillon,190,81,University of North Carolina,26,10,18%,22,5,36,0
26,Bob Doll,196,88,University of Colorado,30,120,35%,114,108,315,0
27,Harry Donovan,188,81,Muhlenberg College,23,90,33%,106,38,253,0
28,Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,27,332,37%,260,142,826,1
29,Gene Englund,196,92,University of Wisconsin,32,104,38%,192,41,360,0
30,Bob Evans,188,79,Butler University,24,56,28%,44,55,142,0
31,Johnny Ezersky,190,79,University of Rhode Island,27,143,29%,183,86,413,0
32,Bob Feerick,190,86,Santa Clara University,30,172,34%,174,127,483,0
33,Arnie Ferrin,188,81,University of Utah,24,132,33%,109,95,340,0
34,Jerry Fleishman,188,86,New York University,27,102,29%,151,118,297,0
35,Joe Fulks*,196,86,Murray State University,28,336,28%,421,56,965,1
36,Elmer Gainer,198,88,DePaul University,31,9,26%,8,7,24,0
37,Harry Gallatin*,198,95,Truman State University,22,263,40%,366,56,803,1
38,Vern Gardner,196,90,University of Utah,24,313,34%,296,119,853,1
39,Bud Grant,190,88,University of Minnesota,22,42,37%,17,19,91,0
40,Don Grate,188,83,Ohio State University,26,1,17%,2,3,4,0
41,Alex Groza,201,98,University of Kentucky,23,521,48%,623,162,1496,1
42,Chick Halbert,206,102,West Texas A&M University,30,108,38%,175,89,328,0
43,Bruce Hale,185,77,Santa Clara University,31,217,35%,285,226,657,1
44,Alex Hannum*,201,95,University of Southern California,26,177,36%,186,129,482,0
45,John Hargis,188,81,University of Texas at Austin,29,223,41%,277,102,643,1
46,Bob Harris,201,88,Oklahoma State University,22,168,36%,223,129,476,0
47,Bob Harrison,201,88,Oklahoma State University,22,125,36%,74,131,300,0
48,Marshall Hawkins,190,92,University of Tennessee,25,55,28%,61,51,152,0
49,Bill Henry,206,97,Rice University,25,89,32%,176,48,296,0
50,Kleggie Hermsen,206,102,University of Minnesota,26,196,32%,247,98,545,1
51,Sonny Hertzberg,178,79,City College of New York,27,275,32%,191,200,693,1
52,Red Holzman*,178,79,City College of New York,29,206,33%,210,200,556,1
53,Gene James,193,81,Marshall University,24,19,30%,31,20,52,0
54,Tony Jaros,190,83,University of Minnesota,29,84,29%,96,60,240,0
55,Buddy Jeannette*,180,79,Washington & Jefferson College,32,42,28%,133,93,193,0
56,Arnie Johnson,196,107,Bemidji State University,29,149,40%,294,141,498,0
57,George Kaftan,190,86,College of the Holy Cross,21,199,37%,208,145,534,1
58,Bob Kinney,198,97,Rice University,29,233,38%,320,100,667,1
59,Walt Kirk,190,78,University of Illinois at Urbana-Champaign,25,97,27%,216,103,349,0
60,Leo Klier,188,77,University of Notre Dame,26,157,30%,190,121,455,0
61,Duane Klueh,190,79,Indiana State University,24,159,38%,222,91,475,0
62,Tony Lavelli,190,83,Yale University,23,162,37%,197,40,492,0
63,Andrew Levane,188,86,St. John's University,29,139,33%,85,156,332,0
64,Freddie Lewis,188,88,Eastern Kentucky University,29,46,25%,32,25,117,0
65,John Logan,188,79,Indiana University,29,251,33%,323,240,755,1
66,Ray Lumpp,185,80,New York University,26,91,32%,108,90,268,0
67,Ed Macauley*,185,80,New York University,29,180,38%,194,153,501,1
68,John Mahnken,203,83,Saint Louis University,21,351,40%,528,200,1081,1
69,John Mandic,203,99,Georgetown University,27,132,27%,115,108,341,0
70,Slater Martin*,193,92,Oregon State University,30,22,29%,32,8,66,0
71,Ariel Maughan,178,77,University of Texas at Austin,24,106,35%,93,148,271,0
72,Matt Mazza,193,86,Utah State University,26,160,28%,205,101,477,0
73,Dick McGuire*,190,95,Michigan State University,26,33,30%,45,29,98,0
74,Bones McKinney,183,81,St. John's University,24,190,34%,313,386,584,1
75,George Mikan*,198,83,University of North Carolina,31,187,30%,152,88,492,0
76,Vern Mikkelsen*,208,111,DePaul University,25,649,41%,728,197,1865,1
77,Joe Mullaney,201,104,Hamline University,21,288,40%,286,123,791,1
78,Jerry Nagel,183,74,College of the Holy Cross,24,9,13%,15,52,30,0
79,Richie Niemiera,183,86,Loyola University of Chicago,21,6,21%,4,18,13,0
80,Paul Noel,185,74,University of Notre Dame,28,110,31%,139,116,324,0
81,Johnny Norlander,193,83,University of Kentucky,25,98,34%,87,67,249,0
82,George Nostrand,190,81,Hamline University,28,99,34%,85,33,251,0
83,Mike Novak,203,88,University of Wyoming,26,78,31%,99,29,212,0
84,Dick O'Keefe,206,99,Loyola University of Chicago,34,37,25%,47,61,99,0
85,John Oldham,188,83,Santa Clara University,26,162,31%,203,74,474,0
86,Gene Ollrich,190,79,Western Kentucky University,26,127,30%,145,99,357,0
87,Johnny Orr,180,72,Drake University,27,17,24%,14,24,44,0
88,Don Otten,190,88,Beloit College,22,40,34%,14,20,92,0
89,Mac Otten,208,108,Bowling Green State University,28,242,37%,463,91,825,1
90,Easy Parham,201,99,Bowling Green State University,24,51,33%,81,36,142,0
91,Jack Parkinson,190,90,Texas Wesleyan University,28,137,33%,178,132,362,0
92,Warren Perkins,183,78,University of Kentucky,25,1,8%,1,2,3,0
93,Jack Phelan,190,86,Tulane University,27,128,30%,195,114,371,0
94,Andy Phillip*,196,88,DePaul University,24,87,33%,90,57,226,0
95,Jim Pollard*,188,88,University of Illinois at Urbana-Champaign,27,284,35%,270,377,758,1
96,Don Ray,193,83,Stanford University,27,394,35%,242,252,973,1
97,Arnie Risen*,196,86,Western Kentucky University,28,130,32%,149,60,364,0
98,Tex Ritter,206,90,Ohio State University,25,206,34%,321,92,625,1
99,Bill Roberts,188,83,Eastern Kentucky University,25,100,34%,176,51,325,0
100,Red Rocha,206,95,University of Wyoming,24,77,35%,39,24,182,0
101,Kenny Rollins,206,83,Oregon State University,26,275,41%,313,155,770,1
102,Jerry Rullo,183,76,University of Kentucky,26,144,34%,89,131,354,0
103,Ed Sadowski,178,74,Temple University,26,3,33%,1,2,7,0
104,Kenny Sailors,196,108,Seton Hall University,32,299,32%,373,136,872,1
105,Herm Schaefer,178,79,University of Wyoming,29,329,35%,456,229,987,1
106,Fred Schaus,183,79,Indiana University,31,122,39%,101,203,330,0
107,Dolph Schayes*,196,92,West Virginia University,24,351,35%,330,176,972,1
108,Howie Schultz,203,99,New York University,21,348,39%,486,259,1072,1
109,Dick Schulz,198,90,Hamline University,27,179,27%,282,169,554,1
110,Fred Scolari,188,87,University of Wisconsin,33,63,30%,110,66,209,0
111,Wayne See,178,81,University of San Francisco,27,312,34%,287,175,860,1
112,Rollie Seltz,190,86,Northern Arizona University,26,113,37%,135,143,320,0
113,Jim Seminoff,178,74,Hamline University,26,93,30%,104,64,266,0
114,George Senesky,188,86,University of Southern California,27,85,30%,188,249,312,0
115,Paul Seymour,188,81,Saint Joseph's University,27,227,32%,223,264,611,1
116,Carl Shaeffer,185,81,University of Toledo,22,175,33%,176,189,476,0
117,Howie Shannon,190,83,University of Alabama,25,59,37%,57,40,150,0
118,Belus Smawley,188,79,Kansas State University,26,222,34%,182,174,587,1
119,Jack Smiley,185,88,Appalachian State University,31,287,35%,314,215,834,1
120,Art Spector,190,86,University of Illinois at Urbana-Champaign,27,98,27%,201,161,332,0
121,Jack Toomay,193,90,Villanova University,29,2,17%,4,3,5,0
122,Bob Tough,198,97,University of the Pacific,27,204,40%,264,94,594,1
123,Blackie Towery,183,83,St. John's University,29,43,28%,40,38,113,0
124,Dick Triptow,193,95,Western Kentucky University,29,222,33%,202,142,597,1
125,Ernie Vandeweghe,183,77,DePaul University,27,0,0%,2,1,2,0
126,Floyd Volker,190,88,Colgate University,21,164,42%,140,78,421,0
127,Clint Wager,193,92,University of Wyoming,28,163,31%,129,112,397,0
128,Brady Walker,198,95,Saint Mary's University of Minnesota,30,57,28%,47,90,143,0
129,Paul Walther,198,92,Brigham Young University,28,218,37%,114,109,508,1
130,Bobby Wanzer*,188,72,University of Tennessee,22,114,39%,109,56,291,0
131,Murray Wier,183,77,Seton Hall University,28,254,41%,351,214,791,1
132,Max Zaslofsky,175,70,University of Iowa,23,157,33%,166,107,429,0
133,Paul Arizin*,188,77,St. John's University,24,397,35%,381,155,1115,1
134,Ike Borsavage,193,86,Villanova University,22,352,41%,526,138,1121,1
135,Gerry Calabrese,203,99,Temple University,26,26,35%,18,4,64,0
136,Nat Clifton*,185,79,St. John's University,25,70,36%,88,65,201,0
137,Bob Cousy*,198,99,Xavier University of Louisiana,28,211,32%,263,162,562,1
138,Ray Ellefson,185,79,College of the Holy Cross,22,401,35%,365,341,1078,1
139,Larry Foust,203,104,West Texas A&M University,28,0,0%,4,0,4,0
140,Don Lofgran,206,97,La Salle University,22,327,35%,396,90,915,1
141,Tommy O'Keefe,196,90,University of San Francisco,23,149,36%,219,48,454,0
142,Kevin O'Shea,188,83,Georgetown University,22,10,36%,4,10,23,0
143,Don Rehfeldt,188,79,University of Notre Dame,25,87,33%,134,100,271,0
144,Alan Sawyer,201,95,University of Wisconsin,24,164,39%,139,68,431,0
145,Dick Schnittker,196,88,"University of California, Los Angeles",23,87,37%,50,25,217,0
146,Bill Sharman*,196,90,Ohio State University,22,86,41%,142,41,295,0
147,Don Barksdale*,185,79,University of Southern California,24,141,37%,108,39,378,0
148,Elmer Behnke,198,90,"University of California, Los Angeles",28,272,34%,343,137,781,1
149,Dick Dickey,201,95,Bradley University,22,6,27%,7,4,16,0
150,Lew Hitch,185,79,North Carolina State University,25,40,29%,69,50,127,0
151,Mel Hutchins,203,90,Kansas State University,22,77,36%,94,50,217,0
152,Neil Johnston*,203,90,Kansas State University,27,57,38%,37,25,140,0
153,George King,198,90,Brigham Young University,23,231,37%,225,190,607,1
154,John McConathy,203,95,Ohio State University,22,141,47%,151,39,382,0
155,Alfred McGuire*,183,79,University of Charleston,23,235,41%,264,244,658,1
156,Ralph O'Brien,196,88,Northwestern State University,21,4,14%,14,8,14,0
157,John Pilch,188,81,St. John's University,23,72,43%,122,107,208,0
158,Sam Ranzino,175,72,Butler University,23,228,37%,149,124,578,1
159,Whitey Skoog,190,83,University of Wyoming,26,1,10%,6,2,5,0
160,Jim Baechtold,185,83,North Carolina State University,24,30,33%,37,25,86,0
161,Jim Brasco,180,81,University of Minnesota,25,102,35%,38,60,234,0
162,Dick Bunt,193,92,Eastern Kentucky University,25,242,39%,240,154,661,1
163,Gene Conley,185,77,New York University,21,25,27%,34,21,77,0
164,Dick Groat,183,77,New York University,22,29,28%,48,17,92,0
165,Monk Meineke,203,102,Washington State University,22,35,32%,31,19,88,0
166,Bill Mlkvy,180,81,Duke University,22,100,37%,138,69,309,0
167,Mark Workman,201,94,University of Dayton,22,240,38%,313,148,725,1
168,Zeke Zawoluk,193,86,Temple University,22,75,31%,48,62,181,0
169,Don Ackerman,206,97,West Virginia University,22,130,32%,113,37,330,0
170,Don Asmonga,201,97,St. John's University,22,55,37%,116,31,187,0
171,Ernie Barrett,183,83,Long Island University,23,14,22%,28,23,43,0
172,Ernie Beck,188,83,Alliance College,25,2,13%,1,5,5,0
173,Walt Davis,190,81,Kansas State University,24,60,31%,25,55,134,0
174,Ray Felix,193,86,University of Pennsylvania,22,39,28%,43,34,112,0
175,Jack George,203,92,Texas A&M University,23,167,37%,101,58,399,0
176,Bob Houbregs*,211,99,Long Island University,23,410,42%,704,82,1269,1
177,Billy Kenville,188,86,La Salle University,25,259,35%,266,312,675,1
178,Dick Knostman,201,95,University of Washington,21,209,37%,266,123,608,1
179,Clyde Lovellette*,188,84,St. Bonaventure University,23,149,38%,182,122,434,0
180,Jack Molinas,198,97,Kansas State University,22,3,30%,11,6,13,0
181,Bob Peterson,206,106,University of Kansas,24,237,42%,164,51,588,1
182,James Phelan,198,90,Columbia University,22,114,39%,187,51,370,0
183,Ed Smith,196,95,University of Oregon,22,3,30%,11,3,15,0
184,Don Sunderlage,196,88,DePaul University,24,0,0%,6,2,3,0
185,Norm Swanson,198,81,Harvard University,24,14,29%,13,10,35,0
186,George Yardley*,185,81,University of Illinois at Urbana-Champaign,24,254,34%,337,187,760,1
187,Larry Costello,198,95,University of Detroit Mercy,23,31,23%,64,33,100,0
188,George Dempsey,196,86,Stanford University,25,209,43%,205,99,564,1
189,Chuck Grigsby,185,84,Niagara University,23,46,33%,32,78,118,0
190,Herm Hedderick,188,86,King's College,25,127,35%,141,174,352,0
191,Mike Kearns,196,86,University of Dayton,26,7,37%,8,7,16,0
192,Red Kerr,196,77,Canisius College,25,2,22%,1,2,4,0
193,Jackie Moore,188,80,Princeton University,25,0,0%,4,5,1,0
194,Togo Palazzi,206,104,University of Illinois at Urbana-Champaign,22,301,42%,223,80,754,1
195,Bob Pettit*,196,81,La Salle University,23,50,39%,53,26,132,0
196,Frank Ramsey*,193,92,College of the Holy Cross,22,101,40%,60,30,247,0
197,Frank Selvy,206,92,Louisiana State University,22,520,41%,567,229,1466,1
198,Gene Shue,190,86,University of Kentucky,23,236,40%,322,185,715,1
199,Jim Tucker,190,81,Furman University,23,67,37%,71,35,187,0
200,Jack Turner,188,77,University of Maryland,23,100,35%,78,89,259,0
201,Jesse Arnelle,201,83,Duquesne University,22,39,34%,38,12,105,0
202,Dick Atha,193,77,Western Kentucky University,24,111,36%,76,77,282,0
203,Walter Dukes,196,99,Pennsylvania State University,22,52,32%,69,18,147,0
204,Al Ferrari,188,86,Indiana State University,24,36,41%,27,32,93,0
205,Dick Garmaker,213,99,Seton Hall University,25,149,40%,236,39,465,0
206,Tom Gola*,193,86,Michigan State University,22,191,36%,236,163,546,1
207,Chris Harris,190,90,University of Minnesota,23,138,37%,139,104,388,0
208,Dick Hemric,198,92,La Salle University,23,244,41%,333,404,732,1
209,Jim Loscutoff,190,86,University of Dayton,22,37,25%,45,44,101,0
210,Chuck Mencel,198,99,Wake Forest University,22,161,40%,273,60,499,0
211,Med Park,196,99,University of Oregon,25,226,36%,207,65,591,1
